parent_org,parent_repo,parent_workflow,parent_ref,parent_ref_type,parent_fork,parent_archived,parent_job,parent_step,parent_url,missing_org,missing_repomissing_workflow,missing_ref,missing_external,missing_url
docker,go-tuf-mirror,.github/workflows/release.yml,main,branch,0,1,https://github.com/docker/go-tuf-mirror/blob/6cb12d389865b1c179abfe5156a0703f29a3063c/.github/workflows/release.yml,dockerhub,7,docker,image-signer-verifier,actions/sign,7e791e4c287d1976e457e6e1d1fa9d6f045ffdcc,0,https://github.com/docker/image-signer-verifier/blob//actions/sign
docker,hub-mcp,.github/workflows/release.yml,main,branch,0,0,https://github.com/docker/hub-mcp/blob/2ff4b20e40bba93c8002ff8aa4fb10f66c95943a/.github/workflows/release.yml,release,1,docker,actions,setup-go,33488d0ac7cf5f3616b656b8f2bf28b45467976c,0,https://github.com/docker/actions/blob//setup-go
docker,hub-mcp,.github/workflows/release.yml,main,branch,0,0,https://github.com/docker/hub-mcp/blob/2ff4b20e40bba93c8002ff8aa4fb10f66c95943a/.github/workflows/release.yml,release,3,docker,actions,bump-version,132452b833c5fae71bc674fe54384c9242173f96,0,https://github.com/docker/actions/blob//bump-version
