org,repo,workflow,ref,url,runner,self_hosted,supported
docker,attest,.github/workflows/test.yml,main,https://github.com/docker/attest/blob/de602565c040ad787f8b89b5e3463a0ce80b44d4/.github/workflows/test.yml,ubuntu-latest,0,1
docker,awesome-compose,.github/workflows/codeql-analysis.yml,master,https://github.com/docker/awesome-compose/blob/18f59bdb09ecf520dd5758fbf90dec314baec545/.github/workflows/codeql-analysis.yml,ubuntu-latest,0,1
docker,aws-kms-sign-csr,.github/workflows/build.yml,master,https://github.com/docker/aws-kms-sign-csr/blob/81deaaafc5a7de0144041d1732d3db9553c7e69c/.github/workflows/build.yml,ubuntu-latest,0,1
docker,aws-kms-sign-csr,.github/workflows/release.yml,master,https://github.com/docker/aws-kms-sign-csr/blob/81deaaafc5a7de0144041d1732d3db9553c7e69c/.github/workflows/release.yml,ubuntu-latest,0,1
docker,babashka-pod-docker,.github/workflows/docker.yml,main,https://github.com/docker/babashka-pod-docker/blob/645ee7fa7b8c659658dbaef7b813b2c8e89f7f3a/.github/workflows/docker.yml,ubuntu-latest,0,1
docker,babashka-pod-docker,.github/workflows/release.yml,main,https://github.com/docker/babashka-pod-docker/blob/645ee7fa7b8c659658dbaef7b813b2c8e89f7f3a/.github/workflows/release.yml,ubuntu-latest,0,1
docker,bake-action,.github/workflows/ci.yml,master,https://github.com/docker/bake-action/blob/41c10f2beb4c60ac3eb05f9d48947994b7ae47e5/.github/workflows/ci.yml,ubuntu-latest,0,1
docker,bake-action,.github/workflows/publish.yml,master,https://github.com/docker/bake-action/blob/41c10f2beb4c60ac3eb05f9d48947994b7ae47e5/.github/workflows/publish.yml,ubuntu-latest,0,1
docker,bake-action,.github/workflows/test.yml,master,https://github.com/docker/bake-action/blob/41c10f2beb4c60ac3eb05f9d48947994b7ae47e5/.github/workflows/test.yml,ubuntu-latest,0,1
docker,bake-action,.github/workflows/validate.yml,master,https://github.com/docker/bake-action/blob/41c10f2beb4c60ac3eb05f9d48947994b7ae47e5/.github/workflows/validate.yml,ubuntu-latest,0,1
docker,base-cli-plugin,.github/workflows/go.yml,main,https://github.com/docker/base-cli-plugin/blob/45dec2439edf53ca9f6964a0cdb228cb8198ee2e/.github/workflows/go.yml,ubuntu-latest,0,1
docker,base-cli-plugin,.github/workflows/goreleaser.yaml,main,https://github.com/docker/base-cli-plugin/blob/45dec2439edf53ca9f6964a0cdb228cb8198ee2e/.github/workflows/goreleaser.yaml,ubuntu-latest,0,1
docker,build-push-action,.github/workflows/.e2e-run.yml,master,https://github.com/docker/build-push-action/blob/9e436ba9f2d7bcd1d038c8e55d039d37896ddc5d/.github/workflows/.e2e-run.yml,ubuntu-latest,0,1
