org,repo,workflow,fork,archived,stars,visibility,ref,ref_type,ref_resolved_to,ref_resolved_type,workflow_type,workflow_url,jobs_count,workflow_status,parent_workflows,event_triggers
docker,docker-install,.github/workflows/diff.yml,0,0,2913,public,master,branch,e3bd92d5b36b59b39661e4e6d05c786db9bb3ad7,commit,workflow,https://github.com/docker/docker-install/blob/e3bd92d5b36b59b39661e4e6d05c786db9bb3ad7/.github/workflows/diff.yml,1,,,pull_request
docker,docker-language-server,.github/workflows/build.yml,0,0,109,public,main,branch,cb62b8b3710e81988521238c89232e95ef728111,commit,workflow,https://github.com/docker/docker-language-server/blob/cb62b8b3710e81988521238c89232e95ef728111/.github/workflows/build.yml,9,,,"push,pull_request,workflow_dispatch"
docker,docker-language-server,.github/workflows/prepare-release.yml,0,0,109,public,main,branch,cb62b8b3710e81988521238c89232e95ef728111,commit,workflow,https://github.com/docker/docker-language-server/blob/cb62b8b3710e81988521238c89232e95ef728111/.github/workflows/prepare-release.yml,1,,,workflow_dispatch
docker,docker-py,.github/workflows/ci.yml,0,0,7117,public,main,branch,62bd22d9b7581157e118e5bc69f391f3331b3c6d,commit,workflow,https://github.com/docker/docker-py/blob/62bd22d9b7581157e118e5bc69f391f3331b3c6d/.github/workflows/ci.yml,4,,,"push,pull_request"
docker,docker-py,.github/workflows/release.yml,0,0,7117,public,main,branch,62bd22d9b7581157e118e5bc69f391f3331b3c6d,commit,workflow,https://github.com/docker/docker-py/blob/62bd22d9b7581157e118e5bc69f391f3331b3c6d/.github/workflows/release.yml,1,,,workflow_dispatch
docker,docs,.github/workflows/build.yml,0,0,4425,public,main,branch,e9ad5f424e9936f6c75fc4a3b8d8d9fab9724c5b,commit,workflow,https://github.com/docker/docs/blob/e9ad5f424e9936f6c75fc4a3b8d8d9fab9724c5b/.github/workflows/build.yml,3,,,"push,pull_request"
docker,docs,.github/workflows/deploy.yml,0,0,4425,public,main,branch,e9ad5f424e9936f6c75fc4a3b8d8d9fab9724c5b,commit,workflow,https://github.com/docker/docs/blob/e9ad5f424e9936f6c75fc4a3b8d8d9fab9724c5b/.github/workflows/deploy.yml,1,,,"workflow_dispatch,push"
docker,docs,.github/workflows/labeler.yml,0,0,4425,public,main,branch,e9ad5f424e9936f6c75fc4a3b8d8d9fab9724c5b,commit,workflow,https://github.com/docker/docs/blob/e9ad5f424e9936f6c75fc4a3b8d8d9fab9724c5b/.github/workflows/labeler.yml,1,,,pull_request_target
docker,docs,.github/workflows/validate-upstream.yml,0,0,4425,public,main,branch,e9ad5f424e9936f6c75fc4a3b8d8d9fab9724c5b,commit,workflow,https://github.com/docker/docs/blob/e9ad5f424e9936f6c75fc4a3b8d8d9fab9724c5b/.github/workflows/validate-upstream.yml,1,,,workflow_call
docker,doi-image-policy,.github/workflows/test.yml,0,1,2,public,main,branch,a6f29fedeb8682fa26a269469717a8684146d77d,commit,workflow,https://github.com/docker/doi-image-policy/blob/a6f29fedeb8682fa26a269469717a8684146d77d/.github/workflows/test.yml,1,,,"push,pull_request,workflow_dispatch"
docker,envoy,.github/workflows/build-and-release.yaml,1,0,2,public,main,branch,ef07c1af66683e4cad0a48a8251ca249504944a0,commit,workflow,https://github.com/docker/envoy/blob/ef07c1af66683e4cad0a48a8251ca249504944a0/.github/workflows/build-and-release.yaml,1,,,"push,workflow_dispatch"
docker,eventsource,.github/workflows/build.yml,1,0,7,public,master,branch,a950a229dc730928df43abfd49f27391acbf52b4,commit,workflow,https://github.com/docker/eventsource/blob/a950a229dc730928df43abfd49f27391acbf52b4/.github/workflows/build.yml,1,,,"push,pull_request"
docker,extensions-sdk,.github/workflows/ci.yaml,0,0,151,public,main,branch,b2c3be9f7e1eb7051190ed4d658dc7212384b7fc,commit,workflow,https://github.com/docker/extensions-sdk/blob/b2c3be9f7e1eb7051190ed4d658dc7212384b7fc/.github/workflows/ci.yaml,2,,,"push,pull_request"
docker,extensions-submissions,.github/workflows/tos.yaml,0,0,11,public,main,branch,460fef63ab337fce96c413fb2b621f5cdf2df947,commit,workflow,https://github.com/docker/extensions-submissions/blob/460fef63ab337fce96c413fb2b621f5cdf2df947/.github/workflows/tos.yaml,7,,,"issues,issue_comment"
docker,extensions-submissions,.github/workflows/validation.yaml,0,0,11,public,main,branch,460fef63ab337fce96c413fb2b621f5cdf2df947,commit,workflow,https://github.com/docker/extensions-submissions/blob/460fef63ab337fce96c413fb2b621f5cdf2df947/.github/workflows/validation.yaml,7,,,workflow_call
docker,getting-started,.github/workflows/build.yml,0,0,3023,public,master,branch,bb1aed919a10b3e25a3576f4b74513ad2b039e4a,commit,workflow,https://github.com/docker/getting-started/blob/bb1aed919a10b3e25a3576f4b74513ad2b039e4a/.github/workflows/build.yml,1,,,"push,pull_request"
docker,ghaction-dump-context,.github/workflows/ci.yml,1,0,2,public,master,branch,5355a8e5e6ac5a302e746a1c4b7747a0393863c8,commit,workflow,https://github.com/docker/ghaction-dump-context/blob/5355a8e5e6ac5a302e746a1c4b7747a0393863c8/.github/workflows/ci.yml,1,,,"workflow_dispatch,push,pull_request"
docker,ghaction-dump-context,.github/workflows/labels.yml,1,0,2,public,master,branch,5355a8e5e6ac5a302e746a1c4b7747a0393863c8,commit,workflow,https://github.com/docker/ghaction-dump-context/blob/5355a8e5e6ac5a302e746a1c4b7747a0393863c8/.github/workflows/labels.yml,1,,,"push,pull_request"
docker,ghaction-dump-context,./action.yml,1,0,2,public,master,branch,5355a8e5e6ac5a302e746a1c4b7747a0393863c8,commit,action,https://github.com/docker/ghaction-dump-context/blob/5355a8e5e6ac5a302e746a1c4b7747a0393863c8/./action.yml,1,,,
docker,github-builder-experimental,.github/workflows/.test.yml,0,0,1,public,main,branch,7d74357663ff1e3b16895347d73e0e2b42c57243,commit,workflow,https://github.com/docker/github-builder-experimental/blob/7d74357663ff1e3b16895347d73e0e2b42c57243/.github/workflows/.test.yml,7,,,"workflow_dispatch,push,pull_request"
docker,github-builder-experimental,.github/workflows/build.yml,0,0,1,public,main,branch,7d74357663ff1e3b16895347d73e0e2b42c57243,commit,workflow,https://github.com/docker/github-builder-experimental/blob/7d74357663ff1e3b16895347d73e0e2b42c57243/.github/workflows/build.yml,1,,,workflow_call
docker,go-connections,.github/workflows/test.yml,0,0,228,public,main,branch,c296721c0d56d3acad2973376ded214103a4fd2e,commit,workflow,https://github.com/docker/go-connections/blob/c296721c0d56d3acad2973376ded214103a4fd2e/.github/workflows/test.yml,3,,,"push,pull_request"
docker,go-containerregistry,.github/workflows/analyze.yaml,1,0,3,public,main,branch,b4625a059fbebc45bfe8df53e19fac2778910f6d,commit,workflow,https://github.com/docker/go-containerregistry/blob/b4625a059fbebc45bfe8df53e19fac2778910f6d/.github/workflows/analyze.yaml,1,,,"workflow_dispatch,push,pull_request"
docker,go-containerregistry,.github/workflows/boilerplate.yaml,1,0,3,public,main,branch,b4625a059fbebc45bfe8df53e19fac2778910f6d,commit,workflow,https://github.com/docker/go-containerregistry/blob/b4625a059fbebc45bfe8df53e19fac2778910f6d/.github/workflows/boilerplate.yaml,1,,,pull_request
docker,go-containerregistry,.github/workflows/build.yaml,1,0,3,public,main,branch,b4625a059fbebc45bfe8df53e19fac2778910f6d,commit,workflow,https://github.com/docker/go-containerregistry/blob/b4625a059fbebc45bfe8df53e19fac2778910f6d/.github/workflows/build.yaml,1,,,pull_request
docker,go-containerregistry,.github/workflows/bump-deps.yaml,1,0,3,public,main,branch,b4625a059fbebc45bfe8df53e19fac2778910f6d,commit,workflow,https://github.com/docker/go-containerregistry/blob/b4625a059fbebc45bfe8df53e19fac2778910f6d/.github/workflows/bump-deps.yaml,1,,,"schedule,workflow_dispatch"
docker,go-containerregistry,.github/workflows/donotsubmit.yaml,1,0,3,public,main,branch,b4625a059fbebc45bfe8df53e19fac2778910f6d,commit,workflow,https://github.com/docker/go-containerregistry/blob/b4625a059fbebc45bfe8df53e19fac2778910f6d/.github/workflows/donotsubmit.yaml,1,,,pull_request
docker,go-containerregistry,.github/workflows/e2e.yaml,1,0,3,public,main,branch,b4625a059fbebc45bfe8df53e19fac2778910f6d,commit,workflow,https://github.com/docker/go-containerregistry/blob/b4625a059fbebc45bfe8df53e19fac2778910f6d/.github/workflows/e2e.yaml,1,,,pull_request
docker,go-containerregistry,.github/workflows/ecr-auth.yaml,1,0,3,public,main,branch,b4625a059fbebc45bfe8df53e19fac2778910f6d,commit,workflow,https://github.com/docker/go-containerregistry/blob/b4625a059fbebc45bfe8df53e19fac2778910f6d/.github/workflows/ecr-auth.yaml,2,,,pull_request_target
