parent_fullname,parent_path,parent_org_name,parent_repo_name,parent_ref,parent_archived,parent_forked,parent_stars,parent_url,unpinnable_action_fullname,unpinnable_action_path,unpinnable_action_org_name,unpinnable_action_repo_name,unpinnable_action_ref,unpinnable_action_archived,unpinnable_action_forked,unpinnable_action_stars,unpinnable_action_url,unpinned_action_fullname,unpinned_action_path,unpinned_action_org_name,unpinned_action_repo_name,unpinned_action_ref,unpinned_action_archived,unpinned_action_forked,unpinned_action_stars,unpinned_action_url
docker/docker-bench-security@master,slsa.yml,docker,docker-bench-security,master,0,0,9657,https://github.com/docker/docker-bench-security/blob/154869da6418089decf7e1ab0cfca0e1cdfc5c49/.github/workflows/slsa.yml,slsa-framework/slsa-github-generator@c747fe7769adf3656dc7d588b161cb614d7abfee,generator_generic_slsa3.yml,slsa-framework,slsa-github-generator,c747fe7769adf3656dc7d588b161cb614d7abfee,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/c747fe7769adf3656dc7d588b161cb614d7abfee/.github/workflows/generator_generic_slsa3.yml,slsa-framework/slsa-github-generator@v1.10.0,.github/actions/detect-workflow-js/action.yml,slsa-framework,slsa-github-generator,v1.10.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/c747fe7769adf3656dc7d588b161cb614d7abfee/.github/actions/detect-workflow-js/action.yml
docker/docker-bench-security@master,slsa.yml,docker,docker-bench-security,master,0,0,9657,https://github.com/docker/docker-bench-security/blob/154869da6418089decf7e1ab0cfca0e1cdfc5c49/.github/workflows/slsa.yml,slsa-framework/slsa-github-generator@c747fe7769adf3656dc7d588b161cb614d7abfee,generator_generic_slsa3.yml,slsa-framework,slsa-github-generator,c747fe7769adf3656dc7d588b161cb614d7abfee,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/c747fe7769adf3656dc7d588b161cb614d7abfee/.github/workflows/generator_generic_slsa3.yml,slsa-framework/slsa-github-generator@v1.10.0,.github/actions/generate-builder/action.yml,slsa-framework,slsa-github-generator,v1.10.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/c747fe7769adf3656dc7d588b161cb614d7abfee/.github/actions/generate-builder/action.yml
docker/docker-bench-security@master,slsa.yml,docker,docker-bench-security,master,0,0,9657,https://github.com/docker/docker-bench-security/blob/154869da6418089decf7e1ab0cfca0e1cdfc5c49/.github/workflows/slsa.yml,slsa-framework/slsa-github-generator@c747fe7769adf3656dc7d588b161cb614d7abfee,generator_generic_slsa3.yml,slsa-framework,slsa-github-generator,c747fe7769adf3656dc7d588b161cb614d7abfee,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/c747fe7769adf3656dc7d588b161cb614d7abfee/.github/workflows/generator_generic_slsa3.yml,slsa-framework/slsa-github-generator@v1.10.0,.github/actions/secure-download-artifact/action.yml,slsa-framework,slsa-github-generator,v1.10.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/c747fe7769adf3656dc7d588b161cb614d7abfee/.github/actions/secure-download-artifact/action.yml
docker/docker-bench-security@master,slsa.yml,docker,docker-bench-security,master,0,0,9657,https://github.com/docker/docker-bench-security/blob/154869da6418089decf7e1ab0cfca0e1cdfc5c49/.github/workflows/slsa.yml,slsa-framework/slsa-github-generator@c747fe7769adf3656dc7d588b161cb614d7abfee,generator_generic_slsa3.yml,slsa-framework,slsa-github-generator,c747fe7769adf3656dc7d588b161cb614d7abfee,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/c747fe7769adf3656dc7d588b161cb614d7abfee/.github/workflows/generator_generic_slsa3.yml,slsa-framework/slsa-github-generator@v1.10.0,.github/actions/secure-builder-checkout/action.yaml,slsa-framework,slsa-github-generator,v1.10.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/c747fe7769adf3656dc7d588b161cb614d7abfee/.github/actions/secure-builder-checkout/action.yaml
docker/go-containerregistry@main,release.yml,docker,go-containerregistry,main,0,1,3,https://github.com/docker/go-containerregistry/blob/91510c321addc991975ba718022df2738dc235ca/.github/workflows/release.yml,slsa-framework/slsa-github-generator@7f4fdb871876c23e455853d694197440c5a91506,generator_generic_slsa3.yml,slsa-framework,slsa-github-generator,7f4fdb871876c23e455853d694197440c5a91506,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/7f4fdb871876c23e455853d694197440c5a91506/.github/workflows/generator_generic_slsa3.yml,slsa-framework/slsa-github-generator@v1.5.0,.github/actions/detect-workflow/action.yml,slsa-framework,slsa-github-generator,v1.5.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/7f4fdb871876c23e455853d694197440c5a91506/.github/actions/detect-workflow/action.yml
docker/go-containerregistry@main,release.yml,docker,go-containerregistry,main,0,1,3,https://github.com/docker/go-containerregistry/blob/91510c321addc991975ba718022df2738dc235ca/.github/workflows/release.yml,slsa-framework/slsa-github-generator@7f4fdb871876c23e455853d694197440c5a91506,generator_generic_slsa3.yml,slsa-framework,slsa-github-generator,7f4fdb871876c23e455853d694197440c5a91506,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/7f4fdb871876c23e455853d694197440c5a91506/.github/workflows/generator_generic_slsa3.yml,slsa-framework/slsa-github-generator@v1.5.0,.github/actions/generate-builder/action.yml,slsa-framework,slsa-github-generator,v1.5.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/7f4fdb871876c23e455853d694197440c5a91506/.github/actions/generate-builder/action.yml
docker/go-containerregistry@main,release.yml,docker,go-containerregistry,main,0,1,3,https://github.com/docker/go-containerregistry/blob/91510c321addc991975ba718022df2738dc235ca/.github/workflows/release.yml,slsa-framework/slsa-github-generator@7f4fdb871876c23e455853d694197440c5a91506,generator_generic_slsa3.yml,slsa-framework,slsa-github-generator,7f4fdb871876c23e455853d694197440c5a91506,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/7f4fdb871876c23e455853d694197440c5a91506/.github/workflows/generator_generic_slsa3.yml,slsa-framework/slsa-github-generator@v1.5.0,.github/actions/secure-builder-checkout/action.yaml,slsa-framework,slsa-github-generator,v1.5.0,0,0,577,https://github.com/slsa-framework/slsa-github-generator/blob/7f4fdb871876c23e455853d694197440c5a91506/.github/actions/secure-builder-checkout/action.yaml
