repo_name,workflow_path,workflow_type,variable_name,variable_type,variable_location,visibility,archived,forked,reusable_workflow,workflow_url,repo_url
docker-gs-ping,ci-cd.yml,workflow,DOCKER_HUB_ACCESS_TOKEN,secret,step,public,0,1,0,https://github.com/docker/docker-gs-ping/blob/main/.github/workflows/ci-cd.yml,https://github.com/docker/docker-gs-ping
docker-gs-ping,ci-cd.yml,workflow,DOCKER_HUB_USERNAME,secret,step,public,0,1,0,https://github.com/docker/docker-gs-ping/blob/main/.github/workflows/ci-cd.yml,https://github.com/docker/docker-gs-ping
model-cards,publish-model-card.yml,workflow,DOCKER_OAT,secret,step,public,1,0,0,https://github.com/docker/model-cards/blob/main/.github/workflows/publish-model-card.yml,https://github.com/docker/model-cards
terraform-provider-docker,acctest.yaml,workflow,DOCKER_PASSWORD,secret,step,public,0,0,0,https://github.com/docker/terraform-provider-docker/blob/main/.github/workflows/acctest.yaml,https://github.com/docker/terraform-provider-docker
scout-cli,release-branch.yml,workflow,DOCKER_PAT,secret,step,public,0,0,0,https://github.com/docker/scout-cli/blob/main/.github/workflows/release-branch.yml,https://github.com/docker/scout-cli
scout-action,test.yml,workflow,DOCKER_PAT,secret,step,public,0,0,0,https://github.com/docker/scout-action/blob/main/.github/workflows/test.yml,https://github.com/docker/scout-action
autobuilds-actions,full-autobuilds.yaml,workflow,DOCKER_TOKEN,secret,step,public,0,0,0,https://github.com/docker/autobuilds-actions/blob/main/.github/workflows/full-autobuilds.yaml,https://github.com/docker/autobuilds-actions
autobuilds-actions,simple-build.yaml,workflow,DOCKER_TOKEN,secret,step,public,0,0,0,https://github.com/docker/autobuilds-actions/blob/main/.github/workflows/simple-build.yaml,https://github.com/docker/autobuilds-actions
model-cards,publish-model-card.yml,workflow,DOCKER_USER,secret,step,public,1,0,0,https://github.com/docker/model-cards/blob/main/.github/workflows/publish-model-card.yml,https://github.com/docker/model-cards
scout-cli,release-branch.yml,workflow,DOCKER_USER,secret,step,public,0,0,0,https://github.com/docker/scout-cli/blob/main/.github/workflows/release-branch.yml,https://github.com/docker/scout-cli
scout-action,test.yml,workflow,DOCKER_USER,secret,step,public,0,0,0,https://github.com/docker/scout-action/blob/main/.github/workflows/test.yml,https://github.com/docker/scout-action
autobuilds-actions,full-autobuilds.yaml,workflow,DOCKER_USERNAME,secret,step,public,0,0,0,https://github.com/docker/autobuilds-actions/blob/main/.github/workflows/full-autobuilds.yaml,https://github.com/docker/autobuilds-actions
autobuilds-actions,simple-build.yaml,workflow,DOCKER_USERNAME,secret,step,public,0,0,0,https://github.com/docker/autobuilds-actions/blob/main/.github/workflows/simple-build.yaml,https://github.com/docker/autobuilds-actions
terraform-provider-docker,acctest.yaml,workflow,DOCKER_USERNAME,variable,step,public,0,0,0,https://github.com/docker/terraform-provider-docker/blob/main/.github/workflows/acctest.yaml,https://github.com/docker/terraform-provider-docker
hub-tool,build-pr.yml,workflow,E2E_HUB_TOKEN,secret,job,public,1,0,0,https://github.com/docker/hub-tool/blob/main/.github/workflows/build-pr.yml,https://github.com/docker/hub-tool
hub-tool,build-pr.yml,workflow,E2E_HUB_USERNAME,secret,job,public,1,0,0,https://github.com/docker/hub-tool/blob/main/.github/workflows/build-pr.yml,https://github.com/docker/hub-tool
envoy,envoy-deflake.yml,workflow,ENVOY_CI_MUTEX_APP_ID,secret,job,public,1,1,0,https://github.com/docker/envoy/blob/main/.github/workflows/envoy-deflake.yml,https://github.com/docker/envoy
envoy,envoy-deflake.yml,workflow,ENVOY_CI_MUTEX_APP_KEY,secret,job,public,1,1,0,https://github.com/docker/envoy/blob/main/.github/workflows/envoy-deflake.yml,https://github.com/docker/envoy
login-action,ci.yml,workflow,GAR_JSON_KEY,secret,step,public,0,0,0,https://github.com/docker/login-action/blob/master/.github/workflows/ci.yml,https://github.com/docker/login-action
mcp-community-registry,cancel-pulumi-lock.yml,workflow,GCP_PROD_SERVICE_ACCOUNT_KEY,secret,step,public,0,1,0,https://github.com/docker/mcp-community-registry/blob/main/.github/workflows/cancel-pulumi-lock.yml,https://github.com/docker/mcp-community-registry
mcp-community-registry,deploy-production.yml,workflow,GCP_PROD_SERVICE_ACCOUNT_KEY,secret,step,public,0,1,0,https://github.com/docker/mcp-community-registry/blob/main/.github/workflows/deploy-production.yml,https://github.com/docker/mcp-community-registry
mcp-community-registry,sync-db.yml,workflow,GCP_PROD_SERVICE_ACCOUNT_KEY,secret,step,public,0,1,0,https://github.com/docker/mcp-community-registry/blob/main/.github/workflows/sync-db.yml,https://github.com/docker/mcp-community-registry
mcp-community-registry,cancel-pulumi-lock.yml,workflow,GCP_STAGING_SERVICE_ACCOUNT_KEY,secret,step,public,0,1,0,https://github.com/docker/mcp-community-registry/blob/main/.github/workflows/cancel-pulumi-lock.yml,https://github.com/docker/mcp-community-registry
mcp-community-registry,deploy-staging.yml,workflow,GCP_STAGING_SERVICE_ACCOUNT_KEY,secret,step,public,0,1,0,https://github.com/docker/mcp-community-registry/blob/main/.github/workflows/deploy-staging.yml,https://github.com/docker/mcp-community-registry
mcp-community-registry,sync-db.yml,workflow,GCP_STAGING_SERVICE_ACCOUNT_KEY,secret,step,public,0,1,0,https://github.com/docker/mcp-community-registry/blob/main/.github/workflows/sync-db.yml,https://github.com/docker/mcp-community-registry
login-action,ci.yml,workflow,GCR_JSON_KEY,secret,step,public,0,0,0,https://github.com/docker/login-action/blob/master/.github/workflows/ci.yml,https://github.com/docker/login-action
build-push-action,update-dist.yml,workflow,GHACTIONS_REPO_WRITE_APP_ID,secret,step,public,0,0,0,https://github.com/docker/build-push-action/blob/master/.github/workflows/update-dist.yml,https://github.com/docker/build-push-action
bake-action,update-dist.yml,workflow,GHACTIONS_REPO_WRITE_APP_ID,secret,step,public,0,0,0,https://github.com/docker/bake-action/blob/master/.github/workflows/update-dist.yml,https://github.com/docker/bake-action
login-action,update-dist.yml,workflow,GHACTIONS_REPO_WRITE_APP_ID,secret,step,public,0,0,0,https://github.com/docker/login-action/blob/master/.github/workflows/update-dist.yml,https://github.com/docker/login-action
