org,repo,workflow,fork,archived,stars,visibility,ref,ref_type,ref_resolved_to,ref_resolved_type,workflow_type,workflow_url,jobs_count,workflow_status,parent_workflows,event_triggers
awslabs,ai-on-eks,.github/workflows/website-test-deploy.yml,0,0,130,public,main,branch,c169aa87ca820fd4aede64eb65f49475f65e301e,commit,workflow,https://github.com/awslabs/ai-on-eks/blob/c169aa87ca820fd4aede64eb65f49475f65e301e/.github/workflows/website-test-deploy.yml,1,,,pull_request
awslabs,ai-on-sagemaker-hyperpod,.github/workflows/deploy.yml,0,0,5,public,main,branch,1590781e184df346df677ab07c1cb9badbf9df5d,commit,workflow,https://github.com/awslabs/ai-on-sagemaker-hyperpod/blob/1590781e184df346df677ab07c1cb9badbf9df5d/.github/workflows/deploy.yml,1,,,push
awslabs,ai-on-sagemaker-hyperpod,.github/workflows/pull_request.yml,0,0,5,public,main,branch,1590781e184df346df677ab07c1cb9badbf9df5d,commit,workflow,https://github.com/awslabs/ai-on-sagemaker-hyperpod/blob/1590781e184df346df677ab07c1cb9badbf9df5d/.github/workflows/pull_request.yml,1,,,pull_request
awslabs,ai-surrogate-models-in-engineering-on-aws,.github/workflows/sphinx.yml,0,0,12,public,main,branch,398db498cf9501d3c5d77b44738131e50e26dc4f,commit,workflow,https://github.com/awslabs/ai-surrogate-models-in-engineering-on-aws/blob/398db498cf9501d3c5d77b44738131e50e26dc4f/.github/workflows/sphinx.yml,1,,,push
awslabs,ai-video-super-resolution,.github/workflows/dependency-review.yml,0,0,48,public,main,branch,e93075809ea06c72edb22c89f274b3ccbf377297,commit,workflow,https://github.com/awslabs/ai-video-super-resolution/blob/e93075809ea06c72edb22c89f274b3ccbf377297/.github/workflows/dependency-review.yml,1,,,pull_request
awslabs,ai-video-super-resolution,.github/workflows/gh-pages.yml,0,0,48,public,main,branch,e93075809ea06c72edb22c89f274b3ccbf377297,commit,workflow,https://github.com/awslabs/ai-video-super-resolution/blob/e93075809ea06c72edb22c89f274b3ccbf377297/.github/workflows/gh-pages.yml,1,,,push
awslabs,aiops-modules,.github/workflows/check-integration-tests.yml,0,0,90,public,main,branch,e920f16cd752a67e56b2687ac7b2e2db788549e0,commit,workflow,https://github.com/awslabs/aiops-modules/blob/e920f16cd752a67e56b2687ac7b2e2db788549e0/.github/workflows/check-integration-tests.yml,2,,,"workflow_dispatch,schedule"
awslabs,aiops-modules,.github/workflows/module-checks-dev-requirements-change.yml,0,0,90,public,main,branch,e920f16cd752a67e56b2687ac7b2e2db788549e0,commit,workflow,https://github.com/awslabs/aiops-modules/blob/e920f16cd752a67e56b2687ac7b2e2db788549e0/.github/workflows/module-checks-dev-requirements-change.yml,2,,,"push,pull_request"
awslabs,aiops-modules,.github/workflows/module-checks.yml,0,0,90,public,main,branch,e920f16cd752a67e56b2687ac7b2e2db788549e0,commit,workflow,https://github.com/awslabs/aiops-modules/blob/e920f16cd752a67e56b2687ac7b2e2db788549e0/.github/workflows/module-checks.yml,2,,,"push,pull_request"
awslabs,aiops-modules,.github/workflows/one-click-template-lint.yml,0,0,90,public,main,branch,e920f16cd752a67e56b2687ac7b2e2db788549e0,commit,workflow,https://github.com/awslabs/aiops-modules/blob/e920f16cd752a67e56b2687ac7b2e2db788549e0/.github/workflows/one-click-template-lint.yml,2,,,"push,pull_request"
awslabs,aiops-modules,.github/workflows/snyk.yml,0,0,90,public,main,branch,e920f16cd752a67e56b2687ac7b2e2db788549e0,commit,workflow,https://github.com/awslabs/aiops-modules/blob/e920f16cd752a67e56b2687ac7b2e2db788549e0/.github/workflows/snyk.yml,1,,,"workflow_dispatch,schedule"
awslabs,aiops-modules,.github/workflows/yaml-lint-check.yml,0,0,90,public,main,branch,e920f16cd752a67e56b2687ac7b2e2db788549e0,commit,workflow,https://github.com/awslabs/aiops-modules/blob/e920f16cd752a67e56b2687ac7b2e2db788549e0/.github/workflows/yaml-lint-check.yml,0,error,,
awslabs,amazon-accessible-rl-sdk,.github/workflows/publish.yml,0,0,36,public,main,branch,62564c7825b949a8f141b71a6c9910356c1d3dda,commit,workflow,https://github.com/awslabs/amazon-accessible-rl-sdk/blob/62564c7825b949a8f141b71a6c9910356c1d3dda/.github/workflows/publish.yml,1,,,release
awslabs,amazon-accessible-rl-sdk,.github/workflows/python-app.yml,0,0,36,public,main,branch,62564c7825b949a8f141b71a6c9910356c1d3dda,commit,workflow,https://github.com/awslabs/amazon-accessible-rl-sdk/blob/62564c7825b949a8f141b71a6c9910356c1d3dda/.github/workflows/python-app.yml,6,,,"push,pull_request"
awslabs,amazon-bedrock-agentcore-samples,.github/workflows/ash-full-repository-scan.yml,0,0,1138,public,main,branch,29abcb2c3113dd594342a05b3aaba1bc6ae5a522,commit,workflow,https://github.com/awslabs/amazon-bedrock-agentcore-samples/blob/29abcb2c3113dd594342a05b3aaba1bc6ae5a522/.github/workflows/ash-full-repository-scan.yml,1,,,"push,schedule,workflow_dispatch"
awslabs,amazon-bedrock-agentcore-samples,.github/workflows/ash-security-comment.yml,0,0,1138,public,main,branch,29abcb2c3113dd594342a05b3aaba1bc6ae5a522,commit,workflow,https://github.com/awslabs/amazon-bedrock-agentcore-samples/blob/29abcb2c3113dd594342a05b3aaba1bc6ae5a522/.github/workflows/ash-security-comment.yml,1,,,workflow_run
awslabs,amazon-bedrock-agentcore-samples,.github/workflows/ash-security-scan.yml,0,0,1138,public,main,branch,29abcb2c3113dd594342a05b3aaba1bc6ae5a522,commit,workflow,https://github.com/awslabs/amazon-bedrock-agentcore-samples/blob/29abcb2c3113dd594342a05b3aaba1bc6ae5a522/.github/workflows/ash-security-scan.yml,1,,,pull_request
