org,repo,workflow,ref,url,runner,self_hosted,supported
awslabs,StsSamlDriver,.github/workflows/main.yml,main,https://github.com/awslabs/StsSamlDriver/blob/680efd895ab77682fdccb962053c18564a6f6a83/.github/workflows/main.yml,ubuntu-latest,0,1
awslabs,StsSamlDriver,.github/workflows/release-to-pypi.yaml,main,https://github.com/awslabs/StsSamlDriver/blob/680efd895ab77682fdccb962053c18564a6f6a83/.github/workflows/release-to-pypi.yaml,ubuntu-latest,0,1
awslabs,aft-blueprints,.github/workflows/docbuild.yml,main,https://github.com/awslabs/aft-blueprints/blob/a02bafb75e8c6afca739a0f4207e5919f4560157/.github/workflows/docbuild.yml,ubuntu-latest,0,1
awslabs,agent-evaluation,.github/workflows/ci.yml,main,https://github.com/awslabs/agent-evaluation/blob/e55db5d495fe602a73e5306795e312eb18a609bd/.github/workflows/ci.yml,ubuntu-latest,0,1
awslabs,agent-evaluation,.github/workflows/cicd-demo.yml,main,https://github.com/awslabs/agent-evaluation/blob/e55db5d495fe602a73e5306795e312eb18a609bd/.github/workflows/cicd-demo.yml,ubuntu-latest,0,1
awslabs,agent-evaluation,.github/workflows/docs.yml,main,https://github.com/awslabs/agent-evaluation/blob/e55db5d495fe602a73e5306795e312eb18a609bd/.github/workflows/docs.yml,ubuntu-latest,0,1
awslabs,agent-evaluation,.github/workflows/pypi.yml,main,https://github.com/awslabs/agent-evaluation/blob/e55db5d495fe602a73e5306795e312eb18a609bd/.github/workflows/pypi.yml,ubuntu-latest,0,1
awslabs,agent-squad,.github/workflows/npm-publish.yml,main,https://github.com/awslabs/agent-squad/blob/8048bcf308fcc5f5768a9c2d4c3f139b0e81f4e6/.github/workflows/npm-publish.yml,ubuntu-latest,0,1
awslabs,agent-squad,.github/workflows/on-docs-update.yml,main,https://github.com/awslabs/agent-squad/blob/8048bcf308fcc5f5768a9c2d4c3f139b0e81f4e6/.github/workflows/on-docs-update.yml,ubuntu-latest,0,1
awslabs,agent-squad,.github/workflows/on-issue-opened.yml,main,https://github.com/awslabs/agent-squad/blob/8048bcf308fcc5f5768a9c2d4c3f139b0e81f4e6/.github/workflows/on-issue-opened.yml,ubuntu-latest,0,1
awslabs,agent-squad,.github/workflows/pr-issue-link-checker.yml,main,https://github.com/awslabs/agent-squad/blob/8048bcf308fcc5f5768a9c2d4c3f139b0e81f4e6/.github/workflows/pr-issue-link-checker.yml,ubuntu-latest,0,1
awslabs,agent-squad,.github/workflows/py-run-tests.yml,main,https://github.com/awslabs/agent-squad/blob/8048bcf308fcc5f5768a9c2d4c3f139b0e81f4e6/.github/workflows/py-run-tests.yml,ubuntu-latest,0,1
awslabs,agent-squad,.github/workflows/pypi-publish.yml,main,https://github.com/awslabs/agent-squad/blob/8048bcf308fcc5f5768a9c2d4c3f139b0e81f4e6/.github/workflows/pypi-publish.yml,ubuntu-latest,0,1
awslabs,agent-squad,.github/workflows/ts-run-lint.yml,main,https://github.com/awslabs/agent-squad/blob/8048bcf308fcc5f5768a9c2d4c3f139b0e81f4e6/.github/workflows/ts-run-lint.yml,ubuntu-latest,0,1
awslabs,agent-squad,.github/workflows/ts-run-security-checks.yml,main,https://github.com/awslabs/agent-squad/blob/8048bcf308fcc5f5768a9c2d4c3f139b0e81f4e6/.github/workflows/ts-run-security-checks.yml,ubuntu-latest,0,1
awslabs,agent-squad,.github/workflows/ts-run-tests.yml,main,https://github.com/awslabs/agent-squad/blob/8048bcf308fcc5f5768a9c2d4c3f139b0e81f4e6/.github/workflows/ts-run-tests.yml,ubuntu-latest,0,1
awslabs,agents-for-amazon-bedrock-blueprints,.github/workflows/ci.yml,main,https://github.com/awslabs/agents-for-amazon-bedrock-blueprints/blob/79ba7fffdcee37d481a918e095e13342f08cd7f6/.github/workflows/ci.yml,ubuntu-latest,0,1
