repo_name,workflow_path,workflow_type,variable_name,variable_type,variable_location,visibility,archived,forked,reusable_workflow,workflow_url,repo_url
aws-athena-query-federation,publish_to_maven_central.yml,workflow,MAVEN_GPG_PRIVATE_KEY,secret,step,public,0,0,0,https://github.com/awslabs/aws-athena-query-federation/blob/master/.github/workflows/publish_to_maven_central.yml,https://github.com/awslabs/aws-athena-query-federation
analytics-accelerator-s3,release.yml,workflow,MAVEN_GROUP_ID,variable,step,public,0,0,0,https://github.com/awslabs/analytics-accelerator-s3/blob/main/.github/workflows/release.yml,https://github.com/awslabs/analytics-accelerator-s3
s3-tables-catalog,gradle-publish.yml,workflow,MAVEN_GROUP_ID,variable,step,public,0,0,0,https://github.com/awslabs/s3-tables-catalog/blob/main/.github/workflows/gradle-publish.yml,https://github.com/awslabs/s3-tables-catalog
aws-athena-query-federation,publish_to_maven_central.yml,workflow,MAVEN_PASSWORD,secret,step,public,0,0,0,https://github.com/awslabs/aws-athena-query-federation/blob/master/.github/workflows/publish_to_maven_central.yml,https://github.com/awslabs/aws-athena-query-federation
aws-postgresql-jdbc,maven_release.yml,workflow,MAVEN_PASSWORD,secret,step,public,0,0,0,https://github.com/awslabs/aws-postgresql-jdbc/blob/main/.github/workflows/maven_release.yml,https://github.com/awslabs/aws-postgresql-jdbc
aws-mysql-jdbc,maven_release.yml,workflow,MAVEN_PASSWORD,secret,step,public,0,0,0,https://github.com/awslabs/aws-mysql-jdbc/blob/main/.github/workflows/maven_release.yml,https://github.com/awslabs/aws-mysql-jdbc
aws-mysql-jdbc,maven_snapshot.yml,workflow,MAVEN_PASSWORD,secret,step,public,0,0,0,https://github.com/awslabs/aws-mysql-jdbc/blob/main/.github/workflows/maven_snapshot.yml,https://github.com/awslabs/aws-mysql-jdbc
aurora-dsql-connectors,java-jdbc-release.yml,workflow,MAVEN_PUBLISH_IAM_ROLE,secret,step,public,0,0,0,https://github.com/awslabs/aurora-dsql-connectors/blob/main/.github/workflows/java-jdbc-release.yml,https://github.com/awslabs/aurora-dsql-connectors
analytics-accelerator-s3,release.yml,workflow,MAVEN_TOKEN_ID,secret,step,public,0,0,0,https://github.com/awslabs/analytics-accelerator-s3/blob/main/.github/workflows/release.yml,https://github.com/awslabs/analytics-accelerator-s3
s3-tables-catalog,gradle-publish.yml,workflow,MAVEN_TOKEN_ID,secret,step,public,0,0,0,https://github.com/awslabs/s3-tables-catalog/blob/main/.github/workflows/gradle-publish.yml,https://github.com/awslabs/s3-tables-catalog
aws-athena-query-federation,publish_to_maven_central.yml,workflow,MAVEN_USERNAME,secret,step,public,0,0,0,https://github.com/awslabs/aws-athena-query-federation/blob/master/.github/workflows/publish_to_maven_central.yml,https://github.com/awslabs/aws-athena-query-federation
aws-postgresql-jdbc,maven_release.yml,workflow,MAVEN_USERNAME,secret,step,public,0,0,0,https://github.com/awslabs/aws-postgresql-jdbc/blob/main/.github/workflows/maven_release.yml,https://github.com/awslabs/aws-postgresql-jdbc
aws-mysql-jdbc,maven_release.yml,workflow,MAVEN_USERNAME,secret,step,public,0,0,0,https://github.com/awslabs/aws-mysql-jdbc/blob/main/.github/workflows/maven_release.yml,https://github.com/awslabs/aws-mysql-jdbc
aws-mysql-jdbc,maven_snapshot.yml,workflow,MAVEN_USERNAME,secret,step,public,0,0,0,https://github.com/awslabs/aws-mysql-jdbc/blob/main/.github/workflows/maven_snapshot.yml,https://github.com/awslabs/aws-mysql-jdbc
fhir-works-on-aws-deployment,deploy.yaml,workflow,MERGE_TOKEN,secret,step,public,1,0,0,https://github.com/awslabs/fhir-works-on-aws-deployment/blob/mainline/.github/workflows/deploy.yaml,https://github.com/awslabs/fhir-works-on-aws-deployment
