org,repo,workflow,ref,url,name,type
awslabs,aws-c-s3,.github/workflows/ci.yml,main,https://github.com/awslabs/aws-c-s3/blob/332dd22c47a7ed139eee71e7f219b764ef8cdf4c/.github/workflows/ci.yml,CRT_CI_ROLE_ARN,secret
awslabs,aws-c-s3,.github/workflows/codecov.yml,main,https://github.com/awslabs/aws-c-s3/blob/332dd22c47a7ed139eee71e7f219b764ef8cdf4c/.github/workflows/codecov.yml,CRT_CI_ROLE_ARN,secret
awslabs,aws-c-sdkutils,.github/workflows/ci.yml,main,https://github.com/awslabs/aws-c-sdkutils/blob/6b9e519932631055eb817d633f1e0ec585f85e3f/.github/workflows/ci.yml,CRT_CI_ROLE_ARN,secret
awslabs,aws-c-sdkutils,.github/workflows/codecov.yml,main,https://github.com/awslabs/aws-c-sdkutils/blob/6b9e519932631055eb817d633f1e0ec585f85e3f/.github/workflows/codecov.yml,CRT_CI_ROLE_ARN,secret
awslabs,aws-checksums,.github/workflows/ci.yml,main,https://github.com/awslabs/aws-checksums/blob/ab4b304239cad0fba1f8f67f4154ac8e72b20e0f/.github/workflows/ci.yml,CRT_CI_ROLE_ARN,secret
awslabs,aws-crt-builder,.github/workflows/create-channel.yml,main,https://github.com/awslabs/aws-crt-builder/blob/15f8a4623f43e92cc35d34c25cb816155672590a/.github/workflows/create-channel.yml,AWS_S3_BUCKET,secret
awslabs,aws-crt-builder,.github/workflows/create-channel.yml,main,https://github.com/awslabs/aws-crt-builder/blob/15f8a4623f43e92cc35d34c25cb816155672590a/.github/workflows/create-channel.yml,CRT_CI_ROLE_ARN,secret
awslabs,aws-crt-builder,.github/workflows/create-channel.yml,main,https://github.com/awslabs/aws-crt-builder/blob/15f8a4623f43e92cc35d34c25cb816155672590a/.github/workflows/create-channel.yml,AWS_ECR_REPO,secret
awslabs,aws-crt-builder,.github/workflows/create-release.yml,main,https://github.com/awslabs/aws-crt-builder/blob/15f8a4623f43e92cc35d34c25cb816155672590a/.github/workflows/create-release.yml,AWS_S3_BUCKET,secret
awslabs,aws-crt-builder,.github/workflows/create-release.yml,main,https://github.com/awslabs/aws-crt-builder/blob/15f8a4623f43e92cc35d34c25cb816155672590a/.github/workflows/create-release.yml,CRT_CI_ROLE_ARN,secret
awslabs,aws-crt-builder,.github/workflows/create-release.yml,main,https://github.com/awslabs/aws-crt-builder/blob/15f8a4623f43e92cc35d34c25cb816155672590a/.github/workflows/create-release.yml,AWS_ECR_REPO,secret
awslabs,aws-crt-builder,.github/workflows/sanity-test.yml,main,https://github.com/awslabs/aws-crt-builder/blob/15f8a4623f43e92cc35d34c25cb816155672590a/.github/workflows/sanity-test.yml,AWS_S3_BUCKET,secret
awslabs,aws-crt-builder,.github/workflows/sanity-test.yml,main,https://github.com/awslabs/aws-crt-builder/blob/15f8a4623f43e92cc35d34c25cb816155672590a/.github/workflows/sanity-test.yml,CRT_CI_ROLE_ARN,secret
awslabs,aws-crt-builder,.github/workflows/sanity-test.yml,main,https://github.com/awslabs/aws-crt-builder/blob/15f8a4623f43e92cc35d34c25cb816155672590a/.github/workflows/sanity-test.yml,AWS_ECR_REPO,secret
awslabs,aws-crt-cpp,.github/workflows/ci.yml,main,https://github.com/awslabs/aws-crt-cpp/blob/1b54c878406c6030e0cb12716fc0bc5a469851ea/.github/workflows/ci.yml,CRT_CI_ROLE_ARN,secret
awslabs,aws-crt-dotnet,.github/workflows/ci.yml,main,https://github.com/awslabs/aws-crt-dotnet/blob/c07c6eb3593aace2c3e4b992ccf5bce4b733ca7b/.github/workflows/ci.yml,CRT_CI_ROLE_ARN,secret
awslabs,aws-crt-ffi,.github/workflows/ci.yml,main,https://github.com/awslabs/aws-crt-ffi/blob/379f110f78801a728054cd8c7352607a69d6e1e3/.github/workflows/ci.yml,CRT_CI_ROLE_ARN,secret
