org,name,type
github,SONAR_TOKEN,secret
github,SOURCE_REPO,secret
github,SSH_KEY_BBS,secret
github,SSH_PORT_BBS,secret
github,TEAM_CONTENT_REPO,secret
github,TEAM_ENGINEERING_REPO,secret
github,TEST_PASSWORD,secret
github,TEST_USERNAME,secret
github,VAULT_KEYS,variable
github,WEBHOOK_SECRET,secret
github,WEBHOOK_URLS,secret
