repo_name,workflow_path,workflow_type,visibility,archived,forked,total_jobs,reusable_workflow,workflow_url,repo_url
actions-oidc-debugger,./action.yml,action,public,1,0,1,0,https://github.com/github/actions-oidc-debugger/blob/main/./action.yml,https://github.com/github/actions-oidc-debugger
actions-oidc-debugger,action-test.yml,workflow,public,1,0,1,0,https://github.com/github/actions-oidc-debugger/blob/main/.github/workflows/action-test.yml,https://github.com/github/actions-oidc-debugger
actions-oidc-debugger,main.yml,workflow,public,1,0,1,0,https://github.com/github/actions-oidc-debugger/blob/main/.github/workflows/main.yml,https://github.com/github/actions-oidc-debugger
actions-oidc-gateway-example,ci.yml,workflow,public,0,0,1,0,https://github.com/github/actions-oidc-gateway-example/blob/main/.github/workflows/ci.yml,https://github.com/github/actions-oidc-gateway-example
advisory-database,create_staging_branch.yaml,workflow,public,0,0,1,0,https://github.com/github/advisory-database/blob/main/.github/workflows/create_staging_branch.yaml,https://github.com/github/advisory-database
advisory-database,delete_staging_and_head_branches.yaml,workflow,public,0,0,1,0,https://github.com/github/advisory-database/blob/main/.github/workflows/delete_staging_and_head_branches.yaml,https://github.com/github/advisory-database
advisory-database,stale.yaml,workflow,public,0,0,1,0,https://github.com/github/advisory-database/blob/main/.github/workflows/stale.yaml,https://github.com/github/advisory-database
ai-assessment-comment-labeler,action.yml,action,public,0,0,1,0,https://github.com/github/ai-assessment-comment-labeler/blob/747e4e5735eaa4dbdbe47d9e9f7697c85f8201f9/action.yml,https://github.com/github/ai-assessment-comment-labeler
ai-assessment-comment-labeler,action.yml,action,public,0,0,1,0,https://github.com/github/ai-assessment-comment-labeler/blob/e3bedc38cfffa9179fe4cee8f7ecc93bffb3fee7/action.yml,https://github.com/github/ai-assessment-comment-labeler
ai-assessment-comment-labeler,ai-issue-assessment.yml,workflow,public,0,0,1,0,https://github.com/github/ai-assessment-comment-labeler/blob/main/.github/workflows/ai-issue-assessment.yml,https://github.com/github/ai-assessment-comment-labeler
ai-assessment-comment-labeler,check_dist.yml,workflow,public,0,0,1,0,https://github.com/github/ai-assessment-comment-labeler/blob/main/.github/workflows/check_dist.yml,https://github.com/github/ai-assessment-comment-labeler
ai-assessment-comment-labeler,ci.yml,workflow,public,0,0,1,0,https://github.com/github/ai-assessment-comment-labeler/blob/main/.github/workflows/ci.yml,https://github.com/github/ai-assessment-comment-labeler
ai-moderator,./action.yml,action,public,0,0,1,0,https://github.com/github/ai-moderator/blob/main/./action.yml,https://github.com/github/ai-moderator
ai-moderator,action.yml,action,public,0,0,1,0,https://github.com/github/ai-moderator/blob/v1/action.yml,https://github.com/github/ai-moderator
ai-moderator,check-dist.yml,workflow,public,0,0,1,0,https://github.com/github/ai-moderator/blob/main/.github/workflows/check-dist.yml,https://github.com/github/ai-moderator
ai-moderator,ci.yml,workflow,public,0,0,3,0,https://github.com/github/ai-moderator/blob/main/.github/workflows/ci.yml,https://github.com/github/ai-moderator
ai-moderator,licensed.yml,workflow,public,0,0,1,0,https://github.com/github/ai-moderator/blob/main/.github/workflows/licensed.yml,https://github.com/github/ai-moderator
ai-moderator,linter.yml,workflow,public,0,0,1,0,https://github.com/github/ai-moderator/blob/main/.github/workflows/linter.yml,https://github.com/github/ai-moderator
ai-moderator,release-new-action-version.yml,workflow,public,0,0,1,0,https://github.com/github/ai-moderator/blob/main/.github/workflows/release-new-action-version.yml,https://github.com/github/ai-moderator
annotated-logger,coverage.yaml,workflow,public,0,0,1,0,https://github.com/github/annotated-logger/blob/main/.github/workflows/coverage.yaml,https://github.com/github/annotated-logger
