repo_name,workflow_path,workflow_type,variable_name,variable_type,variable_location,visibility,archived,forked,reusable_workflow,workflow_url,repo_url
gh-aw,copilot-agent-analysis.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/copilot-agent-analysis.lock.yml,https://github.com/github/gh-aw
gh-aw,copilot-session-insights.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/copilot-session-insights.lock.yml,https://github.com/github/gh-aw
gh-aw,daily-agentrx-trace-optimizer.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/daily-agentrx-trace-optimizer.lock.yml,https://github.com/github/gh-aw
gh-aw,daily-astrostylelite-markdown-spellcheck.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/daily-astrostylelite-markdown-spellcheck.lock.yml,https://github.com/github/gh-aw
gh-aw,daily-aw-cross-repo-compile-check.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/daily-aw-cross-repo-compile-check.lock.yml,https://github.com/github/gh-aw
gh-aw,daily-caveman-optimizer.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/daily-caveman-optimizer.lock.yml,https://github.com/github/gh-aw
gh-aw,daily-choice-test.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/daily-choice-test.lock.yml,https://github.com/github/gh-aw
gh-aw,daily-code-metrics.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/daily-code-metrics.lock.yml,https://github.com/github/gh-aw
gh-aw,daily-doc-healer.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/daily-doc-healer.lock.yml,https://github.com/github/gh-aw
gh-aw,daily-model-inventory.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/daily-model-inventory.lock.yml,https://github.com/github/gh-aw
gh-aw,daily-reliability-review.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/daily-reliability-review.lock.yml,https://github.com/github/gh-aw
gh-aw,daily-rendering-scripts-verifier.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/daily-rendering-scripts-verifier.lock.yml,https://github.com/github/gh-aw
gh-aw,daily-safe-output-optimizer.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/daily-safe-output-optimizer.lock.yml,https://github.com/github/gh-aw
gh-aw,daily-safe-outputs-conformance.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/daily-safe-outputs-conformance.lock.yml,https://github.com/github/gh-aw
gh-aw,daily-safeoutputs-git-simulator.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/daily-safeoutputs-git-simulator.lock.yml,https://github.com/github/gh-aw
gh-aw,daily-security-red-team.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/daily-security-red-team.lock.yml,https://github.com/github/gh-aw
gh-aw,daily-team-evolution-insights.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/daily-team-evolution-insights.lock.yml,https://github.com/github/gh-aw
gh-aw,daily-token-consumption-report.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/daily-token-consumption-report.lock.yml,https://github.com/github/gh-aw
gh-aw,deep-report.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/deep-report.lock.yml,https://github.com/github/gh-aw
gh-aw,design-decision-gate.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/design-decision-gate.lock.yml,https://github.com/github/gh-aw
gh-aw,developer-docs-consolidator.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/developer-docs-consolidator.lock.yml,https://github.com/github/gh-aw
gh-aw,example-workflow-analyzer.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/example-workflow-analyzer.lock.yml,https://github.com/github/gh-aw
