org,repo,workflow,fork,archived,stars,visibility,ref,ref_type,ref_resolved_to,ref_resolved_type,workflow_type,workflow_url,jobs_count,workflow_status,parent_workflows,event_triggers
github,image-crop-element,.github/workflows/publish.yml,0,0,190,public,main,branch,bf606c1121d8774ea90d76f6b70db524227f410d,commit,workflow,https://github.com/github/image-crop-element/blob/bf606c1121d8774ea90d76f6b70db524227f410d/.github/workflows/publish.yml,1,,,release
github,include-fragment-element,.github/workflows/nodejs.yml,0,0,557,public,main,branch,2deafd83af76ca501b4e2ce8193e36f384772693,commit,workflow,https://github.com/github/include-fragment-element/blob/2deafd83af76ca501b4e2ce8193e36f384772693/.github/workflows/nodejs.yml,1,,,push
github,include-fragment-element,.github/workflows/publish.yml,0,0,557,public,main,branch,2deafd83af76ca501b4e2ce8193e36f384772693,commit,workflow,https://github.com/github/include-fragment-element/blob/2deafd83af76ca501b4e2ce8193e36f384772693/.github/workflows/publish.yml,1,,,release
github,incubator-airflow,.github/workflows/build-images-workflow-run.yml,1,1,26,public,gh-2.0.2,branch,73f70e00b9fd294057f8ca6b714a85622f6d5dd5,commit,workflow,https://github.com/github/incubator-airflow/blob/73f70e00b9fd294057f8ca6b714a85622f6d5dd5/.github/workflows/build-images-workflow-run.yml,6,,,workflow_run
github,incubator-airflow,.github/workflows/ci.yml,1,1,26,public,gh-2.0.2,branch,73f70e00b9fd294057f8ca6b714a85622f6d5dd5,commit,workflow,https://github.com/github/incubator-airflow/blob/73f70e00b9fd294057f8ca6b714a85622f6d5dd5/.github/workflows/ci.yml,22,,,"schedule,push,pull_request"
github,incubator-airflow,.github/workflows/codeql-analysis.yml,1,1,26,public,gh-2.0.2,branch,73f70e00b9fd294057f8ca6b714a85622f6d5dd5,commit,workflow,https://github.com/github/incubator-airflow/blob/73f70e00b9fd294057f8ca6b714a85622f6d5dd5/.github/workflows/codeql-analysis.yml,2,,,"push,schedule"
github,incubator-airflow,.github/workflows/label_when_reviewed.yml,1,1,26,public,gh-2.0.2,branch,73f70e00b9fd294057f8ca6b714a85622f6d5dd5,commit,workflow,https://github.com/github/incubator-airflow/blob/73f70e00b9fd294057f8ca6b714a85622f6d5dd5/.github/workflows/label_when_reviewed.yml,1,,,pull_request_review
github,incubator-airflow,.github/workflows/label_when_reviewed_workflow_run.yml,1,1,26,public,gh-2.0.2,branch,73f70e00b9fd294057f8ca6b714a85622f6d5dd5,commit,workflow,https://github.com/github/incubator-airflow/blob/73f70e00b9fd294057f8ca6b714a85622f6d5dd5/.github/workflows/label_when_reviewed_workflow_run.yml,1,,,workflow_run
github,incubator-airflow,.github/workflows/repo_sync.yml,1,1,26,public,gh-2.0.2,branch,73f70e00b9fd294057f8ca6b714a85622f6d5dd5,commit,workflow,https://github.com/github/incubator-airflow/blob/73f70e00b9fd294057f8ca6b714a85622f6d5dd5/.github/workflows/repo_sync.yml,1,,,workflow_dispatch
github,incubator-airflow,.github/workflows/scheduled_quarantined.yml,1,1,26,public,gh-2.0.2,branch,73f70e00b9fd294057f8ca6b714a85622f6d5dd5,commit,workflow,https://github.com/github/incubator-airflow/blob/73f70e00b9fd294057f8ca6b714a85622f6d5dd5/.github/workflows/scheduled_quarantined.yml,1,,,schedule
